"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",1e-04,300,51,10,6,0.678,0.798,0.408
"dart",0.1,125,51,10,53,0.398,0.903,0.17
"gbdt",0.1,125,51,10,19,0.427,0.88,0.189
"dart",0.01,125,51,10,933,0.422,0.894,0.178
"gbdt",0.01,125,51,10,6,0.649,0.816,0.408
"dart",0.001,125,51,10,999,0.566,0.852,0.175
"gbdt",0.001,125,51,10,6,0.675,0.844,0.408
"dart",1e-04,125,51,10,999,0.674,0.827,0.297
"gbdt",1e-04,125,51,10,6,0.679,0.809,0.408
"dart",0.1,75,51,10,49,0.418,0.896,0.184
"gbdt",0.1,75,51,10,9,0.442,0.884,0.2
"dart",0.01,75,51,10,704,0.442,0.866,0.181
"gbdt",0.01,75,51,10,6,0.646,0.845,0.408
"dart",0.001,75,51,10,999,0.579,0.837,0.2
"gbdt",0.001,75,51,10,6,0.674,0.818,0.408
"dart",1e-04,75,51,10,999,0.673,0.849,0.311
"gbdt",1e-04,75,51,10,6,0.678,0.811,0.408
"dart",0.1,25,51,10,65,0.399,0.901,0.161
"gbdt",0.1,25,51,10,15,0.443,0.882,0.199
"dart",0.01,25,51,10,818,0.406,0.895,0.183
"gbdt",0.01,25,51,10,6,0.645,0.841,0.408
"dart",0.001,25,51,10,999,0.572,0.838,0.187
"gbdt",0.001,25,51,10,6,0.676,0.839,0.408
"dart",1e-04,25,51,10,999,0.674,0.858,0.306
"gbdt",1e-04,25,51,10,6,0.676,0.827,0.408
"dart",0.1,255,71,10,39,0.415,0.892,0.175
"gbdt",0.1,255,71,10,15,0.453,0.874,0.199
"dart",0.01,255,71,10,736,0.423,0.885,0.167
"gbdt",0.01,255,71,10,6,0.646,0.84,0.408
"dart",0.001,255,71,10,999,0.575,0.819,0.194
"gbdt",0.001,255,71,10,6,0.676,0.792,0.408
"dart",1e-04,255,71,10,999,0.674,0.824,0.3
"gbdt",1e-04,255,71,10,6,0.676,0.842,0.408
"dart",0.1,300,71,10,49,0.411,0.897,0.181
"gbdt",0.1,300,71,10,17,0.409,0.889,0.181
"dart",0.01,300,71,10,661,0.431,0.877,0.186
"gbdt",0.01,300,71,10,6,0.65,0.828,0.408
"dart",0.001,300,71,10,999,0.57,0.848,0.184
"gbdt",0.001,300,71,10,6,0.674,0.835,0.408
"dart",1e-04,300,71,10,999,0.673,0.857,0.286
"gbdt",1e-04,300,71,10,6,0.677,0.81,0.408
"dart",0.1,125,71,10,19,0.445,0.869,0.2
"gbdt",0.1,125,71,10,8,0.46,0.871,0.189
"dart",0.01,125,71,10,931,0.432,0.887,0.18
"gbdt",0.01,125,71,10,6,0.647,0.839,0.408
"dart",0.001,125,71,10,999,0.573,0.838,0.183
"gbdt",0.001,125,71,10,6,0.675,0.835,0.408
"dart",1e-04,125,71,10,999,0.673,0.859,0.31
"gbdt",1e-04,125,71,10,6,0.677,0.832,0.408
