id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
GME00123718,51.6267,10.3717,238,,HERZBERG,,,TMAX,1991,2022
GME00123730,47.8781,11.3656,672,,ATTENKAM,,,TMAX,1941,2022
GME00123754,54.5767,13.1056,1,,HIDDENSEE-VITTE,,,TMAX,1931,2022
GME00123778,50.7381,7.6533,295,,HILGENROTH,,,TMAX,1937,2022
GME00123838,50.5917,12.7156,387,,AUE,,,TMAX,1977,2022
GME00123862,50.9006,14.7475,270,,BERTSDORF-HORNITZ,,,TMAX,1947,2022
GME00123898,50.1364,10.5167,263,,HOFHEIM,,,PRCP,1949,2022
GME00123922,54.3128,9.5392,10,,HOHN,,,PRCP,1981,2022
GME00123934,54.3206,10.6742,10,,HOHWACHT,,,TMAX,1977,2022
GME00123946,51.7683,13.1681,81,,HOLZDORF (FLUGPLATZ),,,PRCP,2001,2022
GME00123970,47.8831,11.6975,685,,HOLZKIRCHEN,,,TMAX,1982,2022
GME00123994,51.8553,9.4975,110,,KR. HOLZMINDEN BEVERN,,,TMAX,1951,2022
GME00124030,49.3292,7.3567,235,,HOMBURG/SAAR,,,PRCP,1951,2022
GME00124102,50.5664,7.4844,328,,HUMMERICH,,,TMAX,1982,2022
GME00124126,49.7,7.3331,376,,IDAR-OBERSTEIN,,,PRCP,2001,2022
GME00124138,48.0428,7.6328,193,,IHRINGEN,,,PRCP,1990,2022
GME00124186,48.7156,11.5333,364,,INGOLSTADT (FLUGPLATZ),,,PRCP,2001,2022
GME00124222,53.9894,9.5694,21,,ITZEHOE,,,TMAX,2003,2022
GME00124234,54.4567,9.5206,21,,SCHLESWIG-JAGEL,,,PRCP,1988,2022
GME00124306,52.0017,13.1039,75,,JUTERBOG,,,PRCP,1951,2022
GME00124318,50.0656,8.9942,107,,KAHL/MAIN,,,TMAX,1947,2022
GME00124330,48.9181,9.6881,489,,KAISERSBACH-CRONHUTTE,,,TMAX,2011,2022
GME00124366,50.5028,6.5267,505,,KALL-SISTIG,,,TMAX,1947,2022
GME00124450,48.5583,7.8808,141,,KEHL-ODELSHOFEN,,,PRCP,1961,2022
GME00124474,49.1814,9.9808,426,,KIRCHBERG/JAGST-HERBOLDSHAUSEN,,,TMAX,2007,2022
GME00124486,54.0008,11.4358,12,,KIRCHDORF/POEL,,,TMAX,1887,2022
GME00124498,48.7278,8.2467,240,,BADEN-BADEN-GEROLDSAU,,,TMAX,1949,2022
